Stock_Name,Stock_Species,Stock_Abundance,Forecasting_Year,Run_Year,Brood_Year,Age_Class,Average_Terminal_Run
Meziadin,Sockeye,Terminal Run,2018,1982,1979,3,2
,,,,1982,1978,4,54605.18082
,,,,1982,1977,5,573354.3986
,,,,1982,1976,6,54605.18082
,,,,1983,1980,3,5614.646577
,,,,1983,1979,4,127532.6819
,,,,1983,1978,5,318965.3863
,,,,1983,1977,6,55700.85687
,,,,1984,1981,3,2
,,,,1984,1980,4,35213.32754
,,,,1984,1979,5,289531.8042
,,,,1984,1978,6,66514.06313
,,,,1985,1982,3,2
,,,,1985,1981,4,203035.4693
,,,,1985,1980,5,323587.7792
,,,,1985,1979,6,114207.4515
,,,,1986,1983,3,2
,,,,1986,1982,4,38449.45106
,,,,1986,1981,5,213219.6832
,,,,1986,1980,6,97871.32998
,,,,1987,1984,3,2
,,,,1987,1983,4,59072.25746
,,,,1987,1982,5,291423.1368
,,,,1987,1981,6,43319.65547
,,,,1988,1985,3,2
,,,,1988,1984,4,41886.02183
,,,,1988,1983,5,264204.1377
,,,,1988,1982,6,16110.0084
,,,,1989,1986,3,2
,,,,1989,1985,4,36221.68969
,,,,1989,1984,5,86529.59204
,,,,1989,1983,6,78480.32767
,,,,1990,1987,3,2
,,,,1990,1986,4,62021.81244
,,,,1990,1985,5,221972.8024
,,,,1990,1984,6,42435.97693
,,,,1991,1988,3,2
,,,,1991,1987,4,378600.6035
,,,,1991,1986,5,386831.0514
,,,,1991,1985,6,57613.13532
,,,,1992,1989,3,2
,,,,1992,1988,4,812446.8598
,,,,1992,1987,5,923235.068
,,,,1992,1986,6,110788.2082
,,,,1993,1990,3,2
,,,,1993,1989,4,550859.8118
,,,,1993,1988,5,1001563.294
,,,,1993,1987,6,116849.051
,,,,1994,1991,3,2
,,,,1994,1990,4,61288.25703
,,,,1994,1989,5,332707.681
,,,,1994,1988,6,43777.32645
,,,,1995,1992,3,2
,,,,1995,1991,4,456034.6328
,,,,1995,1990,5,392189.7842
,,,,1995,1989,6,63844.84859
,,,,1996,1993,3,2
,,,,1996,1992,4,63511.22264
,,,,1996,1991,5,789353.767
,,,,1996,1990,6,54438.19083
,,,,1997,1994,3,2
,,,,1997,1993,4,183184.6554
,,,,1997,1992,5,323626.2245
,,,,1997,1991,6,97698.48288
,,,,1998,1995,3,2
,,,,1998,1994,4,103485.0747
,,,,1998,1993,5,319862.9582
,,,,1998,1992,6,42334.80329
,,,,1999,1996,3,2
,,,,1999,1995,4,238536.3243
,,,,1999,1994,5,492462.0889
,,,,1999,1993,6,46168.32083
,,,,2000,1997,3,2
,,,,2000,1996,4,98947.65832
,,,,2000,1995,5,215103.6051
,,,,2000,1994,6,116155.9467
,,,,2001,1998,3,2
,,,,2001,1997,4,120134.1648
,,,,2001,1996,5,171620.2354
,,,,2001,1995,6,137296.1883
,,,,2002,1999,3,2
,,,,2002,1998,4,519032.7821
,,,,2002,1997,5,575449.3889
,,,,2002,1996,6,33849.96405
,,,,2003,2000,3,2
,,,,2003,1999,4,172532.1826
,,,,2003,1998,5,550459.8205
,,,,2003,1997,6,98589.8186
,,,,2004,2001,3,2
,,,,2004,2000,4,184609.9412
,,,,2004,1999,5,435152.0043
,,,,2004,1998,6,32966.06093
,,,,2005,2002,3,2
,,,,2005,2001,4,68675.40672
,,,,2005,2000,5,274701.6269
,,,,2005,1999,6,60595.94711
,,,,2006,2003,3,2
,,,,2006,2002,4,76414.11561
,,,,2006,2001,5,237732.8041
,,,,2006,2000,6,110375.9448
,,,,2007,2004,3,2
,,,,2007,2003,4,20538.37505
,,,,2007,2002,5,283429.5756
,,,,2007,2001,6,106799.5502
,,,,2008,2005,3,2
,,,,2008,2004,4,65501.95085
,,,,2008,2003,5,180130.3648
,,,,2008,2002,6,27292.47952
,,,,2009,2006,3,2
,,,,2009,2005,4,44553.97713
,,,,2009,2004,5,307827.4783
,,,,2009,2003,6,52654.70024
,,,,2010,2007,3,8759.61606
,,,,2010,2006,4,70076.92848
,,,,2010,2005,5,198551.2974
,,,,2010,2004,6,17519.23212
,,,,2011,2008,3,3265.780386
,,,,2011,2007,4,104504.9724
,,,,2011,2006,5,189415.2624
,,,,2011,2005,6,29392.02347
,,,,2012,2009,3,16092.1326
,,,,2012,2008,4,51494.82432
,,,,2012,2007,5,199542.4442
,,,,2012,2006,6,57931.67736
,,,,2013,2010,3,8032.431602
,,,,2013,2009,4,132535.1214
,,,,2013,2008,5,212859.4375
,,,,2013,2007,6,48194.58961
,,,,2014,2011,3,26160.29981
,,,,2014,2010,4,72667.49948
,,,,2014,2009,5,154055.0989
,,,,2014,2008,6,37787.09973
,,,,2015,2012,3,4244.260697
,,,,2015,2011,4,169770.4279
,,,,2015,2010,5,174014.6886
,,,,2015,2009,6,76396.69255
,,,,2016,2013,3,7070.740516
,,,,2016,2012,4,37121.38771
,,,,2016,2011,5,109596.478
,,,,2016,2010,6,24747.59181
,,,,2017,2014,3,13042.44674
,,,,2017,2013,4,48443.3736
,,,,2017,2012,5,87570.71382
,,,,2017,2011,6,37264.13354
