species,year,total.run,total.harvest,er,escapement
Sockeye,2017,369000,142000,0.38,227000
Sockeye,2018,316000,92000,0.29,224000
Sockeye,2019,377000,134000,0.36,243000
Sockeye,2020,303000,88000,0.29,215000
Pink,2017,964000,124000,0.13,840000
Pink,2018,266000,43000,0.16,223000
Pink,2019,190000,31000,0.16,159000
Pink,2020,673000,32000,0.05,641000
Coho,2017,454000,264000,0.58,190000
Coho,2018,144000,72000,0.50,72000
Coho,2019,290000,153000,0.53,137000
Coho,2020,222000,125000,0.56,97000
Chinook,2017,11700,6800,0.58,4900
Chinook,2018,23100,7200,0.31,15900
Chinook,2019,21000,9400,0.45,11600
Chinook,2020,25200,7800,0.31,17400
Chum,2017,26000,2800,0.11,23200
Chum,2018,53000,4100,0.08,48900
Chum,2019,30000,6000,0.20,24000
Chum,2020,119000,7400,0.06,111600
Sockeye,2021,,,,
Pink,2021,,,,
Coho,2021,,,,
Chinook,2021,,,,
Chum,2021,,,,
Sockeye,2000,625000,421000,0.67,204000
Sockeye,2001,582000,414000,0.71,168000
Sockeye,2002,1404000,998000,0.71,406000
Sockeye,2003,1177000,913000,0.78,264000
Sockeye,2004,985000,770000,0.78,215000
Sockeye,2005,667000,442000,0.66,225000
Sockeye,2006,775000,524000,0.68,251000
Sockeye,2007,602000,438000,0.73,164000
Sockeye,2008,380000,162000,0.43,218000
Sockeye,2009,575000,331000,0.58,244000
Sockeye,2010,439000,210000,0.48,229000
Sockeye,2011,557000,281000,0.50,276000
Sockeye,2012,477000,274000,0.57,203000
Sockeye,2013,504000,294000,0.58,210000
Sockeye,2014,553000,293000,0.53,260000
Sockeye,2015,870000,480000,0.55,390000
Sockeye,2016,442000,166000,0.38,276000
Pink,2000,594000,243000,0.41,351000
Pink,2001,2093000,1254000,0.60,839000
Pink,2002,691000,282000,0.41,409000
Pink,2003,1155000,301000,0.26,854000
Pink,2004,782000,289000,0.37,493000
Pink,2005,1523000,459000,0.30,1064000
Pink,2006,141000,23000,0.16,118000
Pink,2007,1015000,368000,0.36,647000
Pink,2008,55000,10000,0.18,45000
Pink,2009,912000,189000,0.21,723000
Pink,2010,203000,23000,0.11,180000
Pink,2011,180000,64000,0.36,116000
Pink,2012,302000,71000,0.24,231000
Pink,2013,1116000,267000,0.24,849000
Pink,2014,461000,114000,0.25,347000
Pink,2015,457000,103000,0.23,354000
Pink,2016,387000,93000,0.24,294000
Coho,2000,208000,120000,0.58,88000
Coho,2001,374000,228000,0.61,146000
Coho,2002,378000,90000,0.24,288000
Coho,2003,265000,125000,0.47,140000
Coho,2004,227000,128000,0.56,99000
Coho,2005,379000,219000,0.58,160000
Coho,2006,199000,98000,0.49,101000
Coho,2007,286000,144000,0.50,142000
Coho,2008,200000,84000,0.42,116000
Coho,2009,487000,175000,0.36,312000
Coho,2010,281000,133000,0.47,148000
Coho,2011,207000,109000,0.53,98000
Coho,2012,261000,146000,0.56,115000
Coho,2013,1042000,687000,0.66,355000
Coho,2014,405000,173000,0.43,232000
Coho,2015,462000,406000,0.88,56000
Coho,2016,618000,434000,0.70,184000
Chum,2000,40000,12000,0.30,28000
Chum,2001,90000,24000,0.27,66000
Chum,2002,32000,5000,0.16,27000
Chum,2003,87000,22000,0.25,65000
Chum,2004,82000,32000,0.39,50000
Chum,2005,42000,12000,0.29,30000
Chum,2006,72000,21000,0.29,51000
Chum,2007,21000,10000,0.48,11000
Chum,2008,4400,1400,0.32,3000
Chum,2009,29000,9000,0.31,20000
Chum,2010,10000,1600,0.16,8400
Chum,2011,8000,2000,0.25,6000
Chum,2012,18000,3000,0.17,15000
Chum,2013,17000,3000,0.18,14000
Chum,2014,25000,4000,0.16,21000
Chum,2015,55000,12000,0.22,43000
Chum,2016,29000,8000,0.28,21000
Chinook,2000,34700,15100,0.44,19600
Chinook,2001,52400,18000,0.34,34400
Chinook,2002,31400,14900,0.47,16500
Chinook,2003,46200,17500,0.38,28700
Chinook,2004,33600,16900,0.50,16700
Chinook,2005,28300,12800,0.45,15500
Chinook,2006,45800,17300,0.38,28500
Chinook,2007,41300,15900,0.38,25400
Chinook,2008,30400,8500,0.28,21900
Chinook,2009,40200,10800,0.27,29400
Chinook,2010,27800,7500,0.27,20300
Chinook,2011,19500,9000,0.46,10500
Chinook,2012,17200,7200,0.42,10000
Chinook,2013,16200,7600,0.47,8600
Chinook,2014,24600,11300,0.46,13300
Chinook,2015,35200,14600,0.41,20600
Chinook,2016,19700,9200,0.47,10500
