year,type,Meziadin,Nass,mez.p,non.mez
1954,Escapement,,,,
1955,Escapement,,,,
1956,Escapement,,,,
1957,Escapement,,,,
1958,Escapement,,,,
1959,Escapement,,,,
1960,Escapement,,,,
1961,Escapement,,,,
1962,Escapement,,,,
1963,Escapement,,,,
1964,Escapement,,,,
1965,Escapement,,,,
1966,Escapement,,,,
1967,Escapement,,,,
1968,Escapement,,,,
1969,Escapement,,,,
1970,Escapement,,,,
1971,Escapement,,,,
1972,Escapement,,,,
1973,Escapement,,,,
1974,Escapement,,,,
1975,Escapement,,,,
1976,Escapement,,,,
1977,Escapement,,,,
1978,Escapement,,,,
1979,Escapement,,,,
1980,Escapement,,,,
1981,Escapement,,,,
1982,Escapement,250000,350008,0.714269388,100008
1983,Escapement,170000,209432,0.811719317,39432
1984,Escapement,140000,201970,0.693172253,61970
1985,Escapement,288663,407042,0.709172518,118379
1986,Escapement,115543,213695,0.540691172,98152
1987,Escapement,143989,210166,0.685120333,66177
1988,Escapement,116984,155793,0.750893814,38809
1989,Escapement,50000,127418,0.392409236,77418
1990,Escapement,120954,177461,0.681580742,56507
1991,Escapement,250000,308716,0.809805776,58716
1992,Escapement,592118,672844,0.88002271,80726
1993,Escapement,400000,538263,0.743131146,138263
1994,Escapement,158010,310044,0.509637342,152034
1995,Escapement,205853,264689,0.77771649,58836
1996,Escapement,182082,217909,0.835587332,35827
1997,Escapement,158687,250460,0.633582209,91773
1998,Escapement,163925,266463,0.6151886,102538
1999,Escapement,180350,210959,0.854905456,30609
2000,Escapement,137042,204408,0.670433643,67366
2001,Escapement,116192,167258,0.69468725,51066
2002,Escapement,332442,405474,0.819884875,73032
2003,Escapement,196852,263688,0.746533782,66836
2004,Escapement,140923,215860,0.652844436,74937
2005,Escapement,142858,224562,0.636162841,81704
2006,Escapement,146954,250641,0.586312694,103687
2007,Escapement,104308,164745,0.633148199,60437
2008,Escapement,150383,218376,0.688642525,67993
2009,Escapement,168404,244900,0.687643936,76496
2010,Escapement,159120,229010,0.69481682,69890
2011,Escapement,167524,276700,0.60543549,109176
2012,Escapement,144923,203030,0.713800916,58107
2013,Escapement,170376,210120,0.810850942,39744
2014,Escapement,144920,260102,0.557166035,115182
2015,Escapement,185917,389508,0.477312404,203591
2016,Escapement,109868,276417,0.397471936,166549
2017,Escapement,119088,227908,0.522526634,108820
2018,Escapement,95000,224135,0.423851697,129135
2019,Escapement,87998,243659,0.361152266,155661
2020,Escapement,122000,215513,0.566091141,93513
2021,Escapement,270788,348826,0.776283878,78038
2022,Escapement,343765,444266,0.773781923,100501
2023,Escapement,,,,
1954,Total Return,,,,
1955,Total Return,,,,
1956,Total Return,,,,
1957,Total Return,,,,
1958,Total Return,,,,
1959,Total Return,,,,
1960,Total Return,,,,
1961,Total Return,,,,
1962,Total Return,,,,
1963,Total Return,,,,
1964,Total Return,,,,
1965,Total Return,,,,
1966,Total Return,,,,
1967,Total Return,,,,
1968,Total Return,,,,
1969,Total Return,,,,
1970,Total Return,,,,
1971,Total Return,,,,
1972,Total Return,,,,
1973,Total Return,,,,
1974,Total Return,,,,
1975,Total Return,,,,
1976,Total Return,,,,
1977,Total Return,,,,
1978,Total Return,,,,
1979,Total Return,,,,
1980,Total Return,,,,
1981,Total Return,,,,
1982,Total Return,682564.7602,920757,0.74130825,238192.2398
1983,Total Return,507991.8138,615371,0.825504962,107379.1862
1984,Total Return,391259.1949,543032,0.720508543,151772.8051
1985,Total Return,634485.8415,841303,0.754170426,206817.1585
1986,Total Return,349540.4642,658881,0.530506213,309340.5358
1987,Total Return,393815.0497,562867,0.699659155,169051.9503
1988,Total Return,322200.1679,401140,0.803211268,78939.8321
1989,Total Return,201231.6094,586686,0.342997122,385454.3906
1990,Total Return,326430.5918,459623,0.710213788,133192.4082
1991,Total Return,823044.7903,958994,0.858237685,135949.2097
1992,Total Return,1846470.136,1960084,0.942036227,113613.864
1993,Total Return,1669272.157,2150584,0.776194818,481311.843
1994,Total Return,437773.2645,837138,0.522940381,399364.7355
1995,Total Return,912069.2656,1168730,0.780393475,256660.7344
1996,Total Return,907303.1805,1054397,0.860494843,147093.8195
1997,Total Return,610615.518,994761,0.613831381,384145.482
1998,Total Return,470386.7032,711783,0.660856895,241396.2968
1999,Total Return,769472.0139,842807,0.912987213,73334.9861
2000,Total Return,430207.2101,625983,0.687250628,195775.7899
2001,Total Return,429050.5885,583885,0.734820364,154834.4115
2002,Total Return,1128332.135,1403976,0.803669105,275643.865
2003,Total Return,821581.8217,1174145,0.699727735,352563.1783
2004,Total Return,659321.2186,983988,0.67005006,324666.7814
2005,Total Return,403972.9807,666038,0.60653143,262065.0193
2006,Total Return,424522.8645,764570,0.555243947,340047.1355
2007,Total Return,410767.5009,601137,0.683317615,190369.4991
2008,Total Return,272924.7952,380631,0.717032494,107706.2048
2009,Total Return,405036.1557,574692,0.704788227,169655.8443
2010,Total Return,291987.202,437691,0.667108079,145703.798
2011,Total Return,326578.0386,555294,0.588117355,228715.9614
2012,Total Return,321842.652,471489,0.682609036,149646.348
2013,Total Return,401621.5801,501424,0.80096202,99802.4199
2014,Total Return,290669.9979,549423,0.529045923,258753.0021
2015,Total Return,424426.0697,869432,0.488164767,445005.9303
2016,Total Return,176768.5129,442420,0.3995491,265651.4871
2017,Total Return,186320.6677,362539,0.513932757,176218.3323
2018,Total Return,,,,
2019,Total Return,,,,
2020,Total Return,,,,
2021,Total Return,,,,
2022,Total Return,,,,
2023,Total Return,,,,
